Id,BarName,Name,Price
138,Maxwell's Nightclub,Widmer Snowplow Milk Stout,11.67
12,Cocktails and Dreams,Strong Suffolk Vintage Ale,8.68
211,Table Salt,River Rock Ale,4.83
43,The Hip Joint,Capital Vintage Ale,7.41
62,The Admiral Benbow Inn,Capital Maibock,10.05
67,Puzzles,Widmer Snowplow Milk Stout,11.25
131,The Red Boot Pub,Xingu Black Beer,8.98
162,The Plumbers Arms,River Rock Ale,4.86
104,Weatherfield Arms,Old Rasputin Russian Imperial Stout,4.57
174,The Crow & Crown,Lakefront Bridge Burner,11.75
161,Electric Psychedelic Pussycat Swingers Club,Left Hand Black Jack Porter,2.5
80,Cohan's,Rogue Dry Hopped Saint Rogue Red Ale,7.23
187,The Loft,Strong Suffolk Vintage Ale,8.63
65,The Moonrakers,SweetWater Summer Hummer,2.71
169,Fitzgerald's,Smuttynose Wheat Wine,12.57
231,Blue Boar Inn,Fordham Dunkel Weiss,4.57
159,The Mohune Arms,Fred,9.31
6,LUX,Fordham Dunkel Weiss,4.03
40,Mystic Grill,Point Horizon Wheat,11.39
35,The Bloated Float Inn,New Glarus Two Women New,11.8
189,The Rose & Thorn,Capital Maibock,10.67
74,The Butchers Arms,Abita Wheat,4.58
186,Bo Ling Chop Suey Palace,Geary's Pale Ale,4.26
250,Maccadam's Old Oil House,Widmer Snowplow Milk Stout,11.53
201,Alibi Bar,Fred,9.71
78,Low Point,Station House Red Ale,9.91
89,Table Salt,Left Hand Polestar Pilsner,5.37
82,New York Bar,Drake's Expedition Ale,5.45
108,Lusty Leopard,Aass Juleol Premium,10.5
176,The Monkey Bar,Steamworks Summer Kolsch,5.35
54,Midnight Bell,Spaten Munchen Dunkel,4.28
46,O'Malley's,Lakefront Bridge Burner,11.27
59,The Archer,Engel Gold,10.32
181,The Rabennest,Saint Arnold Brown Ale,5.65
221,The Three Sisters' Inn,SweetWater Summer Hummer,2.69
53,Vardi's,Saint Arnold Brown Ale,5.69
179,The Mucky Duck,Widmer Snowplow Milk Stout,11.67
101,"Mos Eisley cantina, aka ""Chalmun's Cantina""",Station House Red Ale,9.89
129,Dexter Lake Club,Rogue Dry Hopped Saint Rogue Red Ale,7.01
153,Poison,BridgePort India Pale Ale,7.13
136,Grilby's,Abita Turbodog,11.76
207,Colonial Taphouse,Southern Pecan Brown ale,3.39
229,Thunderbrew Distillery,Spaten Munchen Dunkel,4.89
153,Poison,Capital Vintage Ale,7.99
170,The Armada Room,SweetWater Summer Hummer,2.72
99,The Rat in the Pot,Left Hand Polestar Pilsner,5.81
200,The Gold Room at the Overlook Hotel,Left Hand Black Jack Porter,2.08
143,The Hound Pits Pub,Left Hand Polestar Pilsner,6.0
155,The Boom Boom Room,Victoria Bitter,8.37
169,Fitzgerald's,New Glarus Spotted Cow Ale,2.71
152,Thunderbrew Distillery,Aass Juleol Premium,10.68
46,O'Malley's,Hitachino Nest Weizen,5.49
202,The Vigilante,SweetWater Summer Hummer,2.01
152,Thunderbrew Distillery,Tripel Karmeliet,3.6
19,The Silent Woman,New Glarus Spotted Cow Ale,2.76
182,The Red Pony,Fordham Dunkel Weiss,4.15
228,Electric Psychedelic Pussycat Swingers Club,Geary's Pale Ale,4.79
126,Boobies,Capital Maibock,10.23
183,The Dog and Partridge,Hitachino Nest Weizen,5.01
39,Inn of the Last Home,Point Horizon Wheat,11.4
249,The Hip Joint,St-Ambroise Oatmeal Stout,7.18
56,Rick's Café Américain,Strong Suffolk Vintage Ale,8.13
194,The King and Queen Tavern,Boddingtons Pub Ale,6.92
13,The Red Boot Pub,Xingu Black Beer,8.44
21,Mickey's,Strong Suffolk Vintage Ale,8.97
41,Palace Saloon,Abita Wheat,4.91
13,The Red Boot Pub,Quail Springs India Pale Ale,8.51
110,The Blue Oyster Bar,Sundance Amber Ale,6.0
208,The Crab Shed,Lakeport Honey Lager,7.39
123,Inn of the Last Home,Drake's Expedition Ale,6.0
218,The Rose & Thorn,Drake's Expedition Ale,5.64
45,The Moonrakers,Full Sail IPA,10.38
73,Palace Saloon,Fordham Dunkel Weiss,4.04
89,Table Salt,Station House Red Ale,9.37
72,West Weald Inn,Fordham Dunkel Weiss,4.92
12,Cocktails and Dreams,Tuppers' Hop Pocket Pils,7.52
218,The Rose & Thorn,Smuttynose Wheat Wine,12.99
95,The Iron Horse,Tripel Karmeliet,3.84
76,The Flowers of Gold,Moosbacher Schwarze Weisse,2.72
212,The Feathers,Saint Arnold Brown Ale,5.51
184,The Golden Perch,Quail Springs India Pale Ale,8.98
227,Club Obi Wan,Lakefront Bridge Burner,11.22
73,Palace Saloon,Engel Gold,10.25
244,The Butchers Arms,New Glarus Two Women New,11.66
59,The Archer,Tripel Karmeliet,3.8
104,Weatherfield Arms,Hitachino Nest Weizen,5.51
176,The Monkey Bar,Strongarm Ruby Red Ale,2.46
205,Brady Pub,Hops Clearwater Light,3.46
175,Glenister's,Capital Vintage Ale,7.37
125,Stone's Throw/Scorched Bone/Setting Sun,Engel Gold,10.65
209,Archie Bunker's Place,New Glarus Two Women New,11.08
69,The Venusville Bar,Saint Arnold Brown Ale,5.27
101,"Mos Eisley cantina, aka ""Chalmun's Cantina""",Left Hand Polestar Pilsner,5.25
10,New Found Out,Left Hand Polestar Pilsner,5.22
212,The Feathers,Lakefront Bridge Burner,11.76
195,Founding Fathers,Old Milwaukee,12.89
146,The Monkey Bar,Fred,9.54
130,Mama Chow's Fine Dining,Moosbacher Schwarze Weisse,2.25
20,Charlie's,Left Hand Polestar Pilsner,5.99
7,Copa,Xingu Black Beer,8.12
45,The Moonrakers,Drake's Expedition Ale,5.37
81,The Venusville Bar,Lakeport Honey Lager,7.38
145,New Found Out,Smuttynose Wheat Wine,12.12
201,Alibi Bar,River Rock Ale,4.09
56,Rick's Café Américain,Old Rasputin Russian Imperial Stout,4.97
48,Palace Saloon,Tuppers' Hop Pocket Pils,7.82
159,The Mohune Arms,St-Ambroise Oatmeal Stout,7.18
41,Palace Saloon,Lakefront Bridge Burner,11.36
92,Inn of Ill Omen,Xingu Black Beer,8.17
73,Palace Saloon,Lakefront Bridge Burner,11.55
210,Volpe's,Russian River Blind Pig IPA,2.52
51,Colonial Taphouse,Lakefront Bridge Burner,11.79
235,"The Hand & Racquet, East Cheam",Left Hand Polestar Pilsner,5.51
98,The Hanged Man,Steamworks Summer Kolsch,5.63
57,The Mucky Duck,Fordham Dunkel Weiss,4.93
221,The Three Sisters' Inn,Fordham Dunkel Weiss,4.28
18,The Bannered Mare,Hitachino Nest Weizen,5.87
145,New Found Out,Left Hand Black Jack Porter,2.46
156,Seagrass,Boddingtons Pub Ale,6.08
238,LUX,Left Hand Polestar Pilsner,5.75
201,Alibi Bar,Aass Juleol Premium,10.25
139,The Goat,Rogue Dry Hopped Saint Rogue Red Ale,7.64
110,The Blue Oyster Bar,Boris,10.55
250,Maccadam's Old Oil House,Tuppers' Hop Pocket Pils,7.42
169,Fitzgerald's,Moosbacher Schwarze Weisse,2.98
64,Samoan Joe's,Xingu Black Beer,8.15
151,West Weald Inn,Abita Turbodog,11.84
131,The Red Boot Pub,Victoria Bitter,8.21
59,The Archer,Geary's Pale Ale,4.81
4,The Ragged Flagon,Southern Pecan Brown ale,3.63
98,The Hanged Man,Russian River Blind Pig IPA,2.97
143,The Hound Pits Pub,Pinstripe Red Ale,9.05
248,The Skinners Arms,Old Rasputin Russian Imperial Stout,4.95
71,Glenister's,Engel Gold,10.29
247,The Blue Parrot,Smuttynose Wheat Wine,12.04
57,The Mucky Duck,Hops Clearwater Light,3.63
232,Thunderbrew Distillery,Quail Springs India Pale Ale,8.96
51,Colonial Taphouse,Capital Vintage Ale,7.73
30,Meibeyer's,SweetWater Summer Hummer,2.04
243,The Silent Woman,Miller High Life Light,5.72
217,Wonder Bar,Fred,9.14
211,Table Salt,Point Horizon Wheat,11.47
14,The Downy Pelican,Abita Turbodog,11.1
234,Deville,Boddingtons Pub Ale,6.36
58,Cooper's,Miller High Life Light,5.85
155,The Boom Boom Room,Abita Turbodog,11.23
119,The Bang Bang Bar,SweetWater Summer Hummer,2.44
172,The Three Sisters' Inn,Capital Maibock,10.33
184,The Golden Perch,Strong Suffolk Vintage Ale,8.89
76,The Flowers of Gold,Drake's Expedition Ale,5.96
43,The Hip Joint,Abita Turbodog,11.55
31,Gateway Inn,Lakefront Bridge Burner,11.35
105,The Bronze,Boulevard Unfiltered Wheat Beer,4.84
201,Alibi Bar,Saint Arnold Brown Ale,5.08
147,Weatherfield Arms,Tuppers' Hop Pocket Pils,7.91
198,The Thorax Bar,Geary's Pale Ale,4.01
172,The Three Sisters' Inn,Abita Turbodog,11.23
96,Sleeping Giant Inn,BridgePort India Pale Ale,7.67
221,The Three Sisters' Inn,Southern Pecan Brown ale,3.23
130,Mama Chow's Fine Dining,Saint Arnold Brown Ale,5.18
146,The Monkey Bar,Moosbacher Schwarze Weisse,2.75
18,The Bannered Mare,Station House Red Ale,9.09
235,"The Hand & Racquet, East Cheam",Tuppers' Hop Pocket Pils,7.91
218,The Rose & Thorn,Rogue Dry Hopped Saint Rogue Red Ale,7.14
227,Club Obi Wan,Pinstripe Red Ale,9.02
71,Glenister's,SweetWater Summer Hummer,2.59
190,Club Pluto,Lakeport Honey Lager,7.16
202,The Vigilante,Left Hand Polestar Pilsner,5.2
137,Wandin Valley RSL,Miller High Life Light,5.17
215,Ace of Clubs,Old Rasputin Russian Imperial Stout,4.35
212,The Feathers,Boulevard Unfiltered Wheat Beer,4.11
87,Gaston's,Engel Gold,10.44
16,The Hip Joint,Steamworks Summer Kolsch,5.15
27,"Mos Eisley cantina, aka ""Chalmun's Cantina""",New Glarus Two Women New,11.62
211,Table Salt,Steamworks Summer Kolsch,5.35
241,The Bull,Sundance Amber Ale,6.19
235,"The Hand & Racquet, East Cheam",Strong Suffolk Vintage Ale,8.07
218,The Rose & Thorn,Pinstripe Red Ale,9.34
21,Mickey's,Boris,10.35
210,Volpe's,Rogue Dry Hopped Saint Rogue Red Ale,7.92
24,The Malt Shovel,Lakeport Honey Lager,7.57
3,Dead Man's Drink,Russian River Blind Pig IPA,2.67
247,The Blue Parrot,Boris,10.82
173,Old Prospector Saloon,Full Sail IPA,10.8
182,The Red Pony,Sundance Amber Ale,6.17
67,Puzzles,Southern Pecan Brown ale,3.98
239,The Grapes,Boddingtons Pub Ale,6.35
222,The Maidenhead,Boulevard Unfiltered Wheat Beer,4.59
31,Gateway Inn,Pinstripe Red Ale,9.35
175,Glenister's,St-Ambroise Oatmeal Stout,7.18
2,LUX,SweetWater Summer Hummer,2.17
50,Mystic Grill,St Peter's Wheat Ale,10.91
155,The Boom Boom Room,BridgePort India Pale Ale,7.81
183,The Dog and Partridge,Geary's Pale Ale,4.1
180,The Thorax Bar,Strong Suffolk Vintage Ale,8.18
54,Midnight Bell,St-Ambroise Oatmeal Stout,7.21
223,Rick's Café Américain,Boulevard Unfiltered Wheat Beer,4.81
40,Mystic Grill,Moosbacher Schwarze Weisse,2.34
101,"Mos Eisley cantina, aka ""Chalmun's Cantina""",Moosbacher Schwarze Weisse,2.4
115,Elfsong Tavern,Lakefront Bridge Burner,11.18
59,The Archer,St-Ambroise Oatmeal Stout,7.35
119,The Bang Bang Bar,Abita Turbodog,11.28
125,Stone's Throw/Scorched Bone/Setting Sun,Tripel Karmeliet,3.63
227,Club Obi Wan,SweetWater Summer Hummer,2.8
29,Table Salt,Quail Springs India Pale Ale,8.78
16,The Hip Joint,Lakefront Bridge Burner,11.91
128,The Hip Joint,Pinstripe Red Ale,9.85
191,The Three Broomsticks,River Rock Ale,4.73
171,Mickey's,Engel Gold,10.24
169,Fitzgerald's,Steamworks Summer Kolsch,5.52
226,Kadie's Club Pecos,New Glarus Spotted Cow Ale,2.58
90,The Swan & Paedo,Strongarm Ruby Red Ale,2.67
214,New York Bar,Old Milwaukee,12.11
146,The Monkey Bar,Hops Clearwater Light,3.4
63,The Five Claws Lodge,Strongarm Ruby Red Ale,2.58
177,Cocktails and Dreams,Capital Maibock,10.25
38,Jenny's,Full Sail IPA,10.12
119,The Bang Bang Bar,Boddingtons Pub Ale,6.3
130,Mama Chow's Fine Dining,Southern Pecan Brown ale,3.4
105,The Bronze,Tuppers' Hop Pocket Pils,7.26
109,The Winchester Club,Widmer Snowplow Milk Stout,11.47
85,The Winchester Tavern,Old Rasputin Russian Imperial Stout,4.85
13,The Red Boot Pub,Pinstripe Red Ale,9.53
16,The Hip Joint,Full Sail IPA,10.18
108,Lusty Leopard,New Glarus Two Women New,11.66
17,Bob's Country Bunker,Miller High Life Light,5.04
24,The Malt Shovel,BridgePort India Pale Ale,7.31
167,Broome's,Engel Gold,10.28
57,The Mucky Duck,Southern Pecan Brown ale,3.98
70,The Wicked Kiss,Left Hand Polestar Pilsner,5.42
143,The Hound Pits Pub,Aass Juleol Premium,10.73
39,Inn of the Last Home,Boris,10.39
41,Palace Saloon,Full Sail IPA,10.14
104,Weatherfield Arms,Abita Wheat,4.64
184,The Golden Perch,Sundance Amber Ale,6.63
110,The Blue Oyster Bar,Hitachino Nest Weizen,5.46
111,The Drowned Trout,Russian River Blind Pig IPA,2.49
215,Ace of Clubs,Pinstripe Red Ale,9.56
110,The Blue Oyster Bar,St Peter's Wheat Ale,10.76
122,The Boatman,Miller High Life Light,5.72
158,Dog And Duck,Engel Gold,10.16
247,The Blue Parrot,Victoria Bitter,8.94
93,The Earl Of Osbourne,Full Sail IPA,10.59
39,Inn of the Last Home,Miller High Life Light,5.61
140,MacLaren's,Russian River Blind Pig IPA,2.75
119,The Bang Bang Bar,New Glarus Spotted Cow Ale,2.77
127,The Moonrakers,Xingu Black Beer,8.54
59,The Archer,Point Horizon Wheat,11.52
146,The Monkey Bar,Left Hand Black Jack Porter,2.53
44,Charlie's,Boulevard Unfiltered Wheat Beer,4.58
105,The Bronze,Geary's Pale Ale,4.45
227,Club Obi Wan,Tuppers' Hop Pocket Pils,7.17
73,Palace Saloon,SweetWater Summer Hummer,2.78
233,Lucky Lockup,Hitachino Nest Weizen,5.16
128,The Hip Joint,Fred,9.95
93,The Earl Of Osbourne,Strong Suffolk Vintage Ale,8.83
238,LUX,Engel Gold,10.21
56,Rick's Café Américain,Drake's Expedition Ale,5.3
25,Inn of the Last Home,Xingu Black Beer,8.14
101,"Mos Eisley cantina, aka ""Chalmun's Cantina""",Saint Arnold Brown Ale,5.75
202,The Vigilante,Lakeport Honey Lager,7.06
163,The Blue Oyster Bar,BridgePort India Pale Ale,7.18
57,The Mucky Duck,Fred,9.75
243,The Silent Woman,Strong Suffolk Vintage Ale,8.54
96,Sleeping Giant Inn,River Rock Ale,4.56
6,LUX,Old Milwaukee,12.46
43,The Hip Joint,Tripel Karmeliet,3.18
128,The Hip Joint,Full Sail IPA,10.63
181,The Rabennest,SweetWater Summer Hummer,2.96
186,Bo Ling Chop Suey Palace,Boddingtons Pub Ale,6.52
156,Seagrass,New Glarus Spotted Cow Ale,2.7
120,The Cap & Bell,Sundance Amber Ale,6.85
29,Table Salt,Engel Gold,10.59
222,The Maidenhead,Old Milwaukee,12.82
157,New Found Out,Hops Clearwater Light,3.1
33,Trees Lounge,Rogue Dry Hopped Saint Rogue Red Ale,7.42
150,Broken Keel Tavern,Capital Vintage Ale,7.55
100,Volpe's,Steamworks Summer Kolsch,5.79
58,Cooper's,Left Hand Polestar Pilsner,5.23
92,Inn of Ill Omen,Left Hand Black Jack Porter,2.41
44,Charlie's,St Peter's Wheat Ale,10.14
154,The Drunken Clam,Fordham Dunkel Weiss,4.44
60,Duke's Pub,Pinstripe Red Ale,9.39
234,Deville,Moosbacher Schwarze Weisse,2.77
191,The Three Broomsticks,New Glarus Spotted Cow Ale,2.71
64,Samoan Joe's,Sundance Amber Ale,6.45
153,Poison,New Glarus Two Women New,11.94
93,The Earl Of Osbourne,Steamworks Summer Kolsch,5.86
118,Maccadam's Old Oil House,Capital Vintage Ale,7.87
163,The Blue Oyster Bar,Fordham Dunkel Weiss,4.92
182,The Red Pony,River Rock Ale,4.99
141,Torchy's,St-Ambroise Oatmeal Stout,7.66
107,The Lamb & Flag,New Glarus Spotted Cow Ale,2.03
7,Copa,Old Milwaukee,12.21
140,MacLaren's,Capital Vintage Ale,7.15
35,The Bloated Float Inn,Left Hand Polestar Pilsner,5.1
206,The Grey Mare,Boddingtons Pub Ale,6.86
158,Dog And Duck,Quail Springs India Pale Ale,8.79
201,Alibi Bar,Abita Wheat,4.25
84,The Rat in the Pot,River Rock Ale,4.09
212,The Feathers,Russian River Blind Pig IPA,2.1
194,The King and Queen Tavern,River Rock Ale,4.87
141,Torchy's,Xingu Black Beer,8.19
67,Puzzles,Old Milwaukee,12.81
222,The Maidenhead,New Glarus Spotted Cow Ale,2.78
116,Titty Twister,Station House Red Ale,9.2
174,The Crow & Crown,Smuttynose Wheat Wine,12.55
231,Blue Boar Inn,Lakeport Honey Lager,7.57
95,The Iron Horse,Hops Clearwater Light,3.7
55,The Lizard's Head,Smuttynose Wheat Wine,12.69
247,The Blue Parrot,Hitachino Nest Weizen,5.24
204,Gallow's End Tavern,Hitachino Nest Weizen,5.98
8,Mama Chow's Fine Dining,New Glarus Spotted Cow Ale,2.3
32,Mad Dog Saloon,Boris,10.19
88,The Peach Pit,Tripel Karmeliet,3.27
57,The Mucky Duck,Miller High Life Light,5.64
175,Glenister's,Victoria Bitter,8.59
138,Maxwell's Nightclub,Geary's Pale Ale,4.47
128,The Hip Joint,Boulevard Unfiltered Wheat Beer,4.31
229,Thunderbrew Distillery,New Glarus Two Women New,11.91
24,The Malt Shovel,Old Rasputin Russian Imperial Stout,4.49
156,Seagrass,Strong Suffolk Vintage Ale,8.53
108,Lusty Leopard,Sundance Amber Ale,6.64
201,Alibi Bar,Old Milwaukee,12.85
221,The Three Sisters' Inn,Capital Vintage Ale,7.6
163,The Blue Oyster Bar,Boris,10.99
4,The Ragged Flagon,Tripel Karmeliet,3.63
217,Wonder Bar,St-Ambroise Oatmeal Stout,7.63
107,The Lamb & Flag,Boris,10.41
96,Sleeping Giant Inn,Spaten Munchen Dunkel,4.7
2,LUX,Quail Springs India Pale Ale,8.61
183,The Dog and Partridge,New Glarus Two Women New,11.43
185,West Weald Inn,Miller High Life Light,5.08
226,Kadie's Club Pecos,New Glarus Two Women New,11.18
193,Ace of Clubs,Victoria Bitter,8.22
59,The Archer,Old Milwaukee,12.59
53,Vardi's,Widmer Snowplow Milk Stout,11.29
240,The White Hart,Tripel Karmeliet,3.55
223,Rick's Café Américain,Quail Springs India Pale Ale,8.04
175,Glenister's,Lakefront Bridge Burner,11.92
224,Mama Chow's Fine Dining,Station House Red Ale,9.01
230,Noah's Bar,Boulevard Unfiltered Wheat Beer,4.93
247,The Blue Parrot,Steamworks Summer Kolsch,5.41
190,Club Pluto,Spaten Munchen Dunkel,4.91
50,Mystic Grill,Xingu Black Beer,8.3
247,The Blue Parrot,Fred,9.67
9,Poor Richard's,Geary's Pale Ale,4.42
25,Inn of the Last Home,New Glarus Two Women New,11.7
232,Thunderbrew Distillery,Station House Red Ale,9.27
47,The Blue Oyster Bar,Quail Springs India Pale Ale,8.85
226,Kadie's Club Pecos,Pinstripe Red Ale,9.77
242,Flanagan's Cocktails & Dreams,Hitachino Nest Weizen,5.6
170,The Armada Room,Old Rasputin Russian Imperial Stout,4.08
81,The Venusville Bar,New Glarus Spotted Cow Ale,2.32
201,Alibi Bar,Old Rasputin Russian Imperial Stout,4.12
86,The Blue Parrot,Point Horizon Wheat,11.84
132,The Ragged Flagon,Russian River Blind Pig IPA,2.11
110,The Blue Oyster Bar,Point Horizon Wheat,11.64
