Id,Name,State,Open,Close
1,The Mucky Duck,MD,0900,2000
2,LUX,OR,1200,1900
3,Dead Man's Drink,MN,0800,1800
4,The Ragged Flagon,LA,1100,2100
5,The Bannered Mare,NJ,1000,2000
6,LUX,WY,0800,2300
7,Copa,WI,0800,2000
8,Mama Chow's Fine Dining,HI,1000,2000
9,Poor Richard's,RI,0800,2100
10,New Found Out,AK,1100,1900
11,O'Malley's,MO,1100,2000
12,Cocktails and Dreams,HI,1300,2100
13,The Red Boot Pub,OR,0900,2000
14,The Downy Pelican,AZ,0800,2300
15,The Siren,KS,1100,2300
16,The Hip Joint,NM,1300,1800
17,Bob's Country Bunker,UT,1100,1900
18,The Bannered Mare,NC,1300,1800
19,The Silent Woman,AK,1300,1900
20,Charlie's,MO,0800,2300
21,Mickey's,GA,0800,2200
22,Porky's,IN,1300,2300
23,The Winchester Tavern,KY,1000,2200
24,The Malt Shovel,WV,1000,2100
25,Inn of the Last Home,NM,1000,1800
26,Rovers Return Inn,VA,1300,2000
27,"Mos Eisley cantina, aka ""Chalmun's Cantina""",LA,0900,2200
28,Lucky Lockup,NC,1100,2000
29,Table Salt,AK,0900,1800
30,Meibeyer's,GA,0800,1800
31,Gateway Inn,MI,0800,2100
32,Mad Dog Saloon,AZ,0800,2300
33,Trees Lounge,TX,0800,2000
34,Seagrass,ND,1100,2000
35,The Bloated Float Inn,AZ,1100,1800
36,The Brick,NY,1300,1900
37,The Intersection,ND,0900,1900
38,Jenny's,NY,1200,2000
39,Inn of the Last Home,ME,1300,2300
40,Mystic Grill,IA,0800,2100
41,Palace Saloon,ID,1200,2200
42,The King and Queen Tavern,HI,1100,1900
43,The Hip Joint,PA,1200,1900
44,Charlie's,IA,1200,2300
45,The Moonrakers,SD,1000,2300
46,O'Malley's,WI,1300,2100
47,The Blue Oyster Bar,UT,1300,2100
48,Palace Saloon,ME,1200,2000
49,Milliway's,TN,1200,1900
50,Mystic Grill,MS,1100,1800
51,Colonial Taphouse,WY,1100,2100
52,Café René,HI,1000,1900
53,Vardi's,AZ,1200,2100
54,Midnight Bell,MD,1100,2100
55,The Lizard's Head,IL,0900,1900
56,Rick's Café Américain,MA,1200,2000
57,The Mucky Duck,NV,0800,2100
58,Cooper's,NM,0800,2200
59,The Archer,IN,1000,2300
60,Duke's Pub,MA,1300,1800
61,Cheers,HI,1200,2200
62,The Admiral Benbow Inn,GA,1000,2300
63,The Five Claws Lodge,KS,1300,2200
64,Samoan Joe's,KY,1000,2200
65,The Moonrakers,CT,1100,2100
66,The Bada Bing,MD,1300,2200
67,Puzzles,PA,0900,2000
68,The Buck's Head Inn,AZ,1200,2000
69,The Venusville Bar,VA,1200,2200
70,The Wicked Kiss,DE,0900,2200
71,Glenister's,KY,1300,1900
72,West Weald Inn,OH,1100,1900
73,Palace Saloon,MI,1300,2100
74,The Butchers Arms,GA,1000,2200
75,West Weald Inn,ID,0900,1900
76,The Flowers of Gold,WY,0900,2100
77,The Three Broomsticks,NM,1100,2000
78,Low Point,TX,1200,2100
79,The Grey Mare,NH,1100,2300
80,Cohan's,WY,1200,2200
81,The Venusville Bar,OH,1100,2200
82,New York Bar,RI,0900,1800
83,The Lock,MD,0800,2300
84,The Rat in the Pot,AK,0900,2300
85,The Winchester Tavern,KS,1300,2300
86,The Blue Parrot,OH,1200,2300
87,Gaston's,ND,0900,2100
88,The Peach Pit,MA,1300,2300
89,Table Salt,SD,1200,2000
90,The Swan & Paedo,NC,1000,2300
91,The Third Rail,WI,1200,2100
92,Inn of Ill Omen,NE,0800,1900
93,The Earl Of Osbourne,SD,1000,2100
94,Levy's,PA,0900,1800
95,The Iron Horse,MA,1100,1900
96,Sleeping Giant Inn,MI,1000,2200
97,The Hand of Glory,VT,0900,1900
98,The Hanged Man,NY,1100,2200
99,The Rat in the Pot,CT,0900,2000
100,Volpe's,OH,1100,1800
101,"Mos Eisley cantina, aka ""Chalmun's Cantina""",CT,0900,2100
102,Dorsia,WI,0800,2100
103,The Boar's Head,OK,1300,2000
104,Weatherfield Arms,NM,1200,1900
105,The Bronze,FL,1000,2200
106,Corrado Italian Bistro,NJ,1100,2100
107,The Lamb & Flag,WI,1000,2300
108,Lusty Leopard,AR,1000,2300
109,The Winchester Club,MD,0800,2200
110,The Blue Oyster Bar,NM,1200,2300
111,The Drowned Trout,WA,1100,2200
112,St. Elmo's Bar,SC,1000,1800
113,The Brick,WY,0900,1800
114,Frostfruit Inn,NH,1100,2200
115,Elfsong Tavern,KY,1200,2200
116,Titty Twister,IL,1200,2200
117,The Drunken Dragon Inn,NV,1100,2200
118,Maccadam's Old Oil House,ID,0900,2300
119,The Bang Bang Bar,IN,0900,2300
120,The Cap & Bell,MT,1100,2200
121,Dog And Duck,SC,1200,2300
122,The Boatman,WA,1200,2300
123,Inn of the Last Home,IN,0900,2100
124,Sandbox,NJ,1000,2000
